r,l,t
1666.6315495371819,4500,99.15976476669312
626.0539625883102,87,102.38482451438904
9773.277771949768,1021,125.12946438789368
9765.333345234394,1056,148.43660235404968
1700.779948592186,4500,239.23465037345886
3745.889546096325,725,254.93107652664185
4151.876055657864,628,267.99675583839417
3744.9409749507904,527,280.71768045425415
9812.722228765488,843,297.1592345237732
