l,t
1000,22.82103133201599
2000,44.12291955947876
3000,63.094369888305664
4000,85.40115523338318
5000,110.29777717590332
6000,133.57444214820862
7000,155.10182881355286
8000,175.03478741645813
9000,194.5582673549652
10000,213.12304830551147
11000,234.73794174194336
12000,257.2126200199127
13000,278.7996406555176
14000,299.2256028652191
